Timestamp,Value
2025-04-21 13:59:44,55.0
2025-04-21 14:04:44,55.5
2025-04-21 14:09:44,56.0
2025-04-21 14:14:44,56.5
2025-04-21 14:19:44,57.0
2025-04-21 14:24:44,57.5
2025-04-21 14:29:44,58.0
2025-04-21 14:34:44,58.5
2025-04-21 14:39:44,59.0
2025-04-21 14:44:44,59.5
2025-04-21 14:49:44,60.0
2025-04-21 14:54:44,60.5
2025-04-21 14:59:44,61.0
2025-04-21 15:04:44,61.5
2025-04-21 15:09:44,62.0
2025-04-21 15:14:44,62.5
2025-04-21 15:19:44,63.0
2025-04-21 15:24:44,63.5
2025-04-21 15:29:44,64.0
2025-04-21 15:34:44,64.5



